"url","title","instructors","topics","departments","resource_types","year","id","date","level"
"https://ocw.mit.edu/courses/14-01sc-principles-of-microeconomics-fall-2011/","Principles of Microeconomics","Prof. Jonathan Gruber","Social Science, Economics, Microeconomics","Economics","Lecture Videos, Recitation Videos, Problem Sets with Solutions, Exams with Solutions, Exams, Lecture Notes, Exam Materials, Problem Sets","2011","14.01SC","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/7-01sc-fundamentals-of-biology-fall-2011/","Fundamentals of Biology","Prof. Eric Lander, Prof. Robert Weinberg, Prof. Tyler Jacks, Prof. Hazel Sive, Prof. Graham Walker, Prof. Sallie Chisholm, Dr. Michelle Mischke","Science, Biology","Biology","Problem Sets with Solutions, Exams with Solutions, Lecture Videos, Problem Sets, Exams, Tutorial Videos, Lecture Notes","2011","7.01SC","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/8-03sc-physics-iii-vibrations-and-waves-fall-2016/","Physics III: Vibrations and Waves","Prof. Yen-Jie Lee","Science, Physics, Atomic, Molecular, Optical Physics, Classical Mechanics, Electromagnetism","Physics","Lecture Videos, Lecture Notes, Problem Sets, Instructor Insights, Exams","2016","8.03SC","Fall 2016","Undergraduate"
"https://ocw.mit.edu/courses/3-091-introduction-to-solid-state-chemistry-fall-2018/","Introduction to Solid-State Chemistry","Prof. Jeffrey Grossman","Engineering, Chemical Engineering, Materials Science and Engineering, Science, Chemistry","Materials Science and Engineering","Lecture Videos, Tutorial Videos, Problem Sets with Solutions, Exams, Online Textbook, Instructor Insights","2018","3.091","Fall 2018","Undergraduate"
"https://ocw.mit.edu/courses/6-849-geometric-folding-algorithms-linkages-origami-polyhedra-fall-2012/","Geometric Folding Algorithms: Linkages, Origami, Polyhedra","Prof. Erik Demaine","Engineering, Computer Science, Algorithms and Data Structures, Fine Arts, Visual Arts, Mathematics, Topology and Geometry","Electrical Engineering and Computer Science","Lecture Videos, Problem Sets with Solutions, Projects, Instructor Insights","2012","6.849","Fall 2012","Graduate"
"https://ocw.mit.edu/courses/sts-081-innovation-systems-for-science-technology-energy-manufacturing-and-health-spring-2017/","Innovation Systems for Science, Technology, Energy, Manufacturing, and Health","William Bonvillian","Engineering, Systems Engineering, Social Science, Economics, Public Economics, Society","Science, Technology, and Society, Political Science","Lecture Videos, Written Assignments, Lecture Notes","2017","STS.081","Spring 2017","Undergraduate"
"https://ocw.mit.edu/courses/15-566-information-technology-as-an-integrating-force-in-manufacturing-spring-2003/","Information Technology as an Integrating Force in Manufacturing","Prof. Brian Subirana","Business, Information Technology, Operations Management","Sloan School of Management","Lecture Videos, Lecture Notes, Written Assignments","2003","15.566","Spring 2003","Graduate"
"https://ocw.mit.edu/courses/11-309j-sensing-place-photography-as-inquiry-fall-2012/","Sensing Place: Photography as Inquiry","Prof. Anne Whiston Spirn","Fine Arts, Architecture, Environmental Design, Visual Arts, Photography, Social Science, Urban Studies, Urban Planning","Urban Studies and Planning, Architecture","Lecture Videos, Written Assignments with Examples","2012","11.309J","Fall 2012","Graduate"
"https://ocw.mit.edu/courses/mas-771-autism-theory-and-technology-spring-2011/","Autism Theory and Technology","Prof. Rosalind W. Picard, Dr. Matthew Goodwin","Engineering, Computer Science, Human-Computer Interfaces, Health and Medicine, Mental Health, Social Science, Psychology, Teaching and Education, Educational Technology","Media Arts and Sciences","Projects, Lecture Videos","2011","MAS.771","Spring 2011","Graduate"
"https://ocw.mit.edu/courses/res-6-010-electronic-feedback-systems-spring-2013/","Electronic Feedback Systems","James Roberge","Engineering, Electrical Engineering, Electronics","Supplemental Resources","Lecture Videos, Online Textbook, Problem Sets with Solutions","2013","RES.6-010","Spring 2013","Undergraduate"
